EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=300,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
601,159.94,159.95,159.82,159.88,21358
602,159.74,159.92,159.68,159.92,37527
603,159.52,159.75,159.5,159.75,27034
604,159.42,159.52,159.37,159.52,31148
605,159.54,159.62,159.44,159.44,20543
606,159.445,159.54,159.4,159.54,21593
607,159.35,159.5,159.31,159.46,35986
608,159.27,159.47,159.26,159.36,20287
609,159.4,159.43,159.2,159.28,18343
610,159.4099,159.42,159.33,159.41,15469
611,159.5,159.52,159.33,159.39,27044
612,159.16,159.51,159.12,159.51,27886
613,159.1566,159.2,159.04,159.17,24089
614,159.185,159.28,159.13,159.15,24239
615,159.2,159.205,159.12,159.19,14926
616,159.2,159.23,159.12,159.21,17859
617,159.27,159.28,159.125,159.21,44590
618,159.28,159.33,159.28,159.29,20180
619,159.25,159.35,159.22,159.28,18517
620,159.33,159.39,159.24,159.24,36164
621,159.02,159.34,159.02,159.34,21240
622,158.94,159.05,158.92,159.02,32017
623,158.99,159.01,158.94,158.94,19670
624,158.99,159.07,158.968,159,20048
625,158.84,159.005,158.84,159,30809
626,158.84,158.86,158.8,158.84,20939
627,158.91,158.97,158.84,158.84,33318
628,158.91,158.96,158.89,158.91,20709
629,158.92,158.999,158.89,158.91,18179
630,159.05,159.06,158.92,158.92,19026
631,158.88,159.105,158.88,159.04,28815
632,158.7932,158.9,158.76,158.87,55746
633,158.94,158.96,158.79,158.8,24263
634,158.97,158.97,158.87,158.93,21748
635,159.11,159.13,158.98,158.98,14730
636,159.08,159.19,159,159.1,28529
637,159.03,159.19,159.03,159.06,29307
638,158.98,159.07,158.92,159.02,30728
639,159,159.06,158.96,158.98,45441
640,159.03,159.095,158.97,159.01,32558
641,159.01,159.06,158.97,159.03,20110
642,159.03,159.07,159.01,159.01,25265
643,158.99,159.04,158.98,159.04,32155
644,159.02,159.05,158.95,159,25857
645,159.05,159.08,159.015,159.015,27885
646,159.01,159.075,158.96,159.06,52492
647,158.99,159.01,158.97,159,36297
648,158.985,159.015,158.98,158.98,26797
649,158.9999,159.04,158.97,158.99,37470
650,159,159.065,158.97,158.99,54542
651,158.99,159.04,158.98,159,51568
652,159.01,159.06,158.88,158.98,80451
653,158.97,159.04,158.95,159.01,107882
654,158.985,159.06,158.94,158.995,292985
864,158.04,158.06,158,158.03,61413
865,157.94,158.1799,157.59,158.02,29549
866,158.03,158.4,157.85,157.89,53953
867,158.05,158.13,157.74,157.995,53647
868,158.16,158.21,158.01,158.0375,21741
869,158.005,158.21,157.97,158.12,32997
870,157.86,158,157.73,157.98,80969
871,157.96,158.04,157.75,157.83,48698
872,157.69,157.975,157.64,157.95,33539
873,158.0623,158.0999,157.55,157.69,52334
874,157.93,158.2,157.9,158.05,136711
875,157.86,157.96,157.78,157.94,29216
876,157.91,158.07,157.77,157.885,28165
877,158.024,158.13,157.8,157.9,30364
878,157.865,158.125,157.76,158.035,32798
879,157.89,157.9,157.81,157.85,20363
880,157.78,157.89,157.65,157.89,32596
881,157.73,157.815,157.61,157.815,38705
882,157.9,157.9,157.69,157.71,17218
883,157.93,157.96,157.84,157.8956,20222
884,158.11,158.11,157.86,157.925,14692
885,157.96,158.12,157.96,158.08,27765
886,158.22,158.25,157.95,157.95,18698
887,158.24,158.26,158.12,158.23,15045
888,158.29,158.29,158.17,158.22,18455
889,158.2378,158.35,158.2,158.27,52342
890,158.049,158.24,157.99,158.24,12238
891,157.85,158.06,157.82,158.06,10136
892,157.79,157.84,157.67,157.82,24553
893,157.73,157.82,157.7,157.774,16357
894,157.61,157.74,157.5,157.74,56294
895,157.58,157.61,157.5,157.58,34315
896,157.39,157.56,157.34,157.55,29841
897,157.35,157.44,157.3183,157.39,20762
898,157.3281,157.407,157.25,157.33,26677
899,157.47,157.58,157.28,157.33,28606
900,157.35,157.55,157.35,157.44,19630
901,157.31,157.4,157.23,157.33,32469
902,157.34,157.4194,157.32,157.32,17985
903,157.38,157.4,157.31,157.3219,11823
904,157.3322,157.47,157.32,157.39,16540
905,157.08,157.33,157.0601,157.33,30421
906,157.2,157.24,157.03,157.1,19721
907,157.065,157.21,157.065,157.21,22162
908,157.04,157.23,156.99,157.0649,53869
909,156.8475,157.07,156.8001,157.069,45384
910,156.91,156.93,156.77,156.83,38348
911,156.8575,157.04,156.79,156.92,33806
912,157.02,157.03,156.86,156.93,21710
913,156.8,156.99,156.8,156.99,22742
914,156.7605,156.85,156.7001,156.78,47510
915,156.72,156.79,156.64,156.7737,63798
916,156.78,156.79,156.655,156.712,40398
917,156.72,156.8,156.655,156.73,22835
918,156.76,156.83,156.69,156.71,22470
919,156.67,156.8,156.48,156.76,56578
920,156.48,156.72,156.35,156.67,38714
921,156.31,156.49,156.2705,156.485,39105
922,156.31,156.38,156.23,156.32,35096
923,156.3883,156.39,156.26,156.32,38703
924,156.558,156.5599,156.35,156.37,45841
925,156.39,156.54,156.35,156.54,45416
926,156.59,156.67,156.395,156.41,46687
927,156.29,156.59,156.21,156.59,51116
928,156.3,156.43,156.21,156.26,72865
929,156.11,156.37,156.0801,156.31,50277
930,156.26,156.34,156.1125,156.1125,29415
931,156.14,156.3225,156.1,156.28,32281
932,156.25,156.27,156.0475,156.12,32019
933,156.19,156.2975,156.0427,156.26,41481
934,156.265,156.39,156.2,156.2,41582
935,156.35,156.39,156.245,156.27,34859
936,156.3,156.5299,156.26,156.33,56984
937,156.301,156.347,156.21,156.3119,51585
938,156.2,156.32,156.06,156.32,85587
939,156.035,156.25,155.94,156.21,132024
940,155.98,156.08,155.85,156.03,122759
