date,^GSPC,^GSPTSE,^FTSE,^GDAXI,^FCHI,^N225,^HSI,^IRX
2000-11-23,nan,8924.700195,6287.299805,6596.930176,6053.040039,nan,14563.509766,nan
2000-11-24,1341.77002,9024.400391,6327.600098,6664.180176,6145.649902,14315.349609,14376.900391,6.17
2000-11-27,1348.969971,9127.400391,6374.700195,6696.910156,6171.330078,14720.389648,14602.759766,6.13
2000-11-28,1336.089966,8925.200195,6249.799805,6625.560059,6069.220215,14658.870117,14566.219727,6.10
2000-11-29,1341.930054,8821.099609,6164.899902,6598.319824,6060.649902,14507.639648,14169.05957,6.05
2000-11-30,1314.949951,8819.900391,6142.200195,6372.330078,5928.080078,14648.509766,13984.389648,6.01
2000-12-01,1315.22998,8941.200195,6170.399902,6512.910156,5928.50,14835.330078,14441.429688,6.04
2000-12-04,1324.969971,8944.700195,6158.700195,6408.100098,5791.509766,14954.730469,14559.240234,5.98
2000-12-05,1376.540039,9279.00,6299.00,6637.089844,5994.890137,14695.049805,14573.209961,5.90
2000-12-06,1351.459961,9230.599609,6273.299805,6622.25,5985.240234,14889.370117,15098.950195,5.90
2000-12-07,1343.550049,9166.799805,6231.399902,6583.129883,5984.689941,14720.360352,15011.519531,5.92
2000-12-08,1369.890015,9548.700195,6288.299805,6691.25,5939.319824,14696.509766,15189.330078,5.90
2000-12-11,1380.199951,9581.900391,6370.399902,6782.52002,6077.879883,15015.700195,15408.540039,5.89
2000-12-12,1371.180054,9343.00,6390.399902,6733.589844,6047.660156,15114.639648,15329.599609,5.89
2000-12-13,1359.98999,9098.099609,6403.00,6620.209961,5962.290039,15168.679688,15621.730469,5.43
2000-12-14,1340.930054,9069.400391,6263.799805,6475.839844,5905.649902,14927.19043,15496.990234,5.87
2000-12-15,1312.150024,9020.00,6175.799805,6331.299805,5839.540039,14552.290039,14975.530273,5.83
2000-12-18,1322.73999,9008.599609,6246.50,6390.25,5887.490234,14483.900391,15024.530273,5.78
2000-12-19,1305.599976,8886.400391,6295.00,6479.279785,5958.859863,14132.370117,15188.040039,5.75
2000-12-20,1264.73999,8642.50,6176.700195,6248.759766,5766.299805,13914.429688,14930.719727,5.67
2000-12-21,1274.859985,8599.700195,6115.50,6200.709961,5758.919922,13423.209961,14659.320312,5.22
2000-12-22,1305.949951,8769.900391,6097.50,6251.399902,5783.72998,13427.080078,14738.209961,5.12
2000-12-25,nan,nan,6097.50,nan,nan,nan,nan,nan
2000-12-26,1315.189941,8769.900391,6097.50,nan,nan,14007.849609,nan,5.59
2000-12-27,1328.920044,8857.099609,6218.200195,6328.160156,5857.149902,13981.490234,14748.360352,5.60
2000-12-28,1334.219971,8876.099609,6223.200195,6371.640137,5920.600098,13946.959961,14796.549805,5.70
2000-12-29,1320.280029,8933.700195,6222.50,6433.609863,5926.419922,13785.69043,15095.530273,5.73
2001-01-01,nan,nan,6222.50,nan,nan,nan,nan,nan
2001-01-02,1283.27002,8611.50,6174.700195,6289.819824,5798.899902,nan,14869.94043,5.68
2001-01-03,1347.560059,8937.799805,6039.899902,6434.959961,5684.049805,nan,14589.580078,5.53
2001-01-04,1333.339966,8905.700195,6185.600098,6376.540039,5815.990234,13691.490234,15235.030273,5.24
2001-01-05,1298.349976,8690.200195,6198.100098,6382.310059,5758.02002,13867.610352,15447.610352,4.97
2001-01-08,1295.859985,8671.700195,6149.600098,6392.169922,5732.799805,nan,15436.530273,5.05
